Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number
OUR LADY OF LOURDES HOSPITAL INC.,Hospital,12505,Private,"46 P. SANCHEZ STREET, SANTA MESA",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,+63 022519406
PAG-ASA HEALTH CENTER,Rural Health Unit,12518,Government,INOCENTES STREET CORNER GENERAL KALENTONG STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PAG-ASA,
PALAR HEALTH STATION,Rural Health Unit,12528,Government,SCORPION STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,WESTERN BICUTAN,
PAMANA HEALTH CENTER,Rural Health Unit,12547,Government,DAMKA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 598,+63 027161370
PAMPLONA I HEALTH CENTER,Barangay Health Station,12551,Government,REAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 028723167
PARKLAND HEALTH CENTER,Rural Health Unit,12576,Government,"L�O�T�U�S� �S�T�R�E�E�T�,� �S�T�R�E�E�T� �M�A�R�Y� S� �V�I�L�L�A�G�E�,� �C�A�M�A�R�I�N�",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 177,
PASIG MEDICAL & MATERNITY HOSPITAL FOUNDATION INC.,Hospital,12605,Private,101 LONDON STREET GREENPARK VILLAGE,1600,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,+63 026461067
PRESIDENTIAL SECURITY GROUP STATION HOSPITAL,Hospital,12776,Government,MALACAÑANG PARK,1005,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,+63 025212301
PUGAD LAWIN HEALTH CENTER,Barangay Health Station,12903,Government,SITIO PUGAD LAWIN,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ALMANZA DOS,
PUROK 4 HEALTH CENTER,Rural Health Unit,12909,Government,BAUTISTA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MAPULANG LUPA,
SAN FRANCISCO SUPER HEALTH CENTER,Rural Health Unit,13078,Government,2ND FLOOR H. FRANCISCO STREET CORNER SAN VICENTE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DAMAYAN,
SAN ROQUE HEALTH CENTER,Rural Health Unit,13158,Government,612 GAMBAN STREET,1303,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 138,+63 028848084
NORTH SIGNAL HEALTH CENTER,Rural Health Unit,13380,Government,IPIL-IPIL STREET ZONE 1,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SIGNAL VILLAGE,
SITIO IMELDA HEALTH CENTER,Rural Health Unit,13382,Government,BLOCK 115 LOT 1 PUROK 7,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,UPPER BICUTAN,
SOUTH DAANG HARI HEALTH CENTER,Rural Health Unit,13459,Government,PUROK 14,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SOUTH DAANG HARI,
"ST. ANTHONY MEDICAL CENTER OF MARIKINA, INC.",Hospital,13518,Private,32 SANTA ANA EXTENSION COR. BETELNUT STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SAN ROQUE,
ST. JOHN'S HOSPITAL,Hospital,13521,Private,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALINTA,
SANTA QUITERIA HEALTH CENTER,Rural Health Unit,13648,Government,TULLAHAN RD. STA. QUITERIA,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 163,
STO. NIÑO DE CEBU MATERNITY HOSPITAL,Hospital,13668,Private,SUCAT ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ANTONIO,+63 028279647
TIBAGAN HEALTH CENTER,Barangay Health Station,15449,Government,160 DON E. EJERCITO STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,TIBAGAN,+63 027289715
TUKTUKAN HEALTH CENTER,Rural Health Unit,15994,Government,GENERAL LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,TUKTUKAN,+63 026420970
URDUJA HEALTH CENTER,Rural Health Unit,16018,Government,"MAGAT SALAMAT STREET, URUDUJA VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 172,
VICTORIA HOMES HEALTH CENTER,Barangay Health Station,16041,Government,VICTORIA HOMES SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,TUNASAN,+63 025199295
VILLAMOR BARANGAY HEALTH STATION,Barangay Health Station,16066,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,
WAWA HEALTH CENTER,Rural Health Unit,16077,Government,JONES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,WAWA,
CALOOCAN CITY HEALTH DEPARTMENT,Rural Health Unit,22485,Government,"A.MABINI CITY HALL COMPOUND, CALOOCAN CITY",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 15,+63 022888811
MALABON CITY HEALTH OFFICE,Rural Health Unit,22572,Government,F. SEVILLA BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,SAN AGUSTIN,+63 022814999
JUSTICE JOSE ABAD SANTOS MOTHER AND CHILD HOSPITAL,Hospital,22594,Government,NUMANCIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,,+63 023537001
SANTA ANA HOSPITAL,Hospital,22598,Government,NEW PANADEROS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 886,+63 025166151
VALENZUELA CITY HEALTH OFFICE,Rural Health Unit,22712,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,KARUHATAN,
SUN VALLEY HEALTH CENTER,Rural Health Unit,22722,Government,SANTA ANA DRIVE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SUN VALLEY,+63 028239171
MANDALUYONG CITY HEALTH OFFICE,Rural Health Unit,22749,Government,MAYSILO CIRCLE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,
EMPOYEES CLINIC,Rural Health Unit,22812,Government,MAYSILO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,
MARIKINA CITY HEALTH OFFICE,Rural Health Unit,22886,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTO NI??O,
EMPLOYEES CLINIC,Rural Health Unit,22899,Government,ALABANG-ZAPOTE ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA TRES,+63 028713909
TUMANA HEALTH CENTER,Rural Health Unit,22910,Government,BAGONG FARMERS 1 AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,TUMANA,+63 029431286
VILLAMOR HEALTH CENTER,Rural Health Unit,22925,Government,MANLUNAS STREET VILLAMOR AIRBASE,1309,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 183,+63 028519707
MAKATI CITY HEALTH OFFICE,Rural Health Unit,22927,Government,"7TH FLOOR, MAKATI CITY HALL BUILDING",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,POBLACION,+63 028701612
PASIG CITY HEALTH OFFICE/CENTER,Rural Health Unit,22947,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN NICOLAS (POB.),
REPRO HEALTH CENTER,Rural Health Unit,22966,Government,A. MABINI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,POBLACION,+63 028999047
TAGUIG CITY HEALTH OFFICE,Rural Health Unit,23010,Government,GENERAL LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,TUKTUKAN,+63 026234901
IBAYO HEALTH CENTER,Rural Health Unit,23017,Government,700 NATIVIDAD STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,IBAYO-TIPAS,
QUEZON CITY HEALTH DEPARTMENT,Rural Health Unit,23018,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CENTRAL,
SOUTH SIGNAL HEALTH CENTER,Rural Health Unit,23037,Government,"FRIENDSHIP STREET, ZONE 6",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SIGNAL VILLAGE,
VIAN FAMILY HOSPITAL II,Hospital,23751,Private,"QUIRINO HIGHWAY, NOVALICHES",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,+63 024543433
COMMONWEALTH HOSPITAL AND MEDICAL CENTER,Hospital,23752,Private,"LOT 3 AND 4, BLK. 3 NEOPOLITAN BUSINESS PARK, REGALADO HIGHWAY",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GREATER LAGRO,+63 029300000
ST. CHRISTIANA MATERNITY HOSPITAL,Hospital,23753,Private,"3338 MAGSAYSAY AVE., KARANGALAN VILLAGE",1611,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,+63 026828751
CABINTE MATERNITY AND CHILDRENS HOSPITAL,Hospital,23767,Private,"LOT 1 BLOCK 2 SAPPHIRE STREET, GOLDEN ACRES",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON SINGKO,+63 025668310
PAROLA HEALTH CENTER,Rural Health Unit,24037,Government,AREA B PAROLA PIER II TONDO,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 20,+63 029842345
PATRICIA HEALTH CENTER,Rural Health Unit,24038,Government,PATRICIA COMPLEX BENITA STREET CORNER FLORA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 024943754
ST. CAMILLUS MEDICAL CENTER,Hospital,24433,Private,116 E. AMANG RODRIGUEZ AVENUE,1600,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTOLAN,+63 026453741
KATUPARAN HEALTH CENTER,Rural Health Unit,25810,Government,PAG-ASA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,KATUPARAN,
SAN MIGUEL HEALTH CENTER,Rural Health Unit,25811,Government,SEAGULL AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SAN MIGUEL,
FORT BONIFACIO HEALTH CENTER,Rural Health Unit,25814,Government,SITIO 3 AT THE BACK OF THE NATIONAL NUTRITION COUNCIL,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,FORT BONIFACIO,
CAA-D HEALTH CENTER,Rural Health Unit,25815,Government,SAGING STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,B. F. INTERNATIONAL VILLAGE,
BLOCK 39 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,25822,Government,BLOCK 39,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,ADDITION HILLS,
ADDITION HILLS HEALTH CENTER,Rural Health Unit,25827,Government,"HOOVER STREET., CORNER LLOYD GEORGE STREET",1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,ADDITION HILLS,
GREENHILLS HEALTH CENTER,Rural Health Unit,25829,Government,ANNAPOLIS STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,GREENHILLS,
MAYTUNAS HEALTH CENTER,Rural Health Unit,25831,Government,M.H. DEL PILAR STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,MAYTUNAS,
UROLOGY CENTER OF THE PHILIPPINES (NEW),Hospital,25834,Private,"NO. 62 MAGINOO STREET, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,
VIAN FAMILY HOSPITAL,Hospital,25836,Private,"QUIRINO HIGHWAY, TALIPAPA",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TALIPAPA,
VT MATERNITY HOSPITAL (NEW),Hospital,25838,Private,"3 TOYOTA AVENUE, CORNER GUERILLA STREET STO. NINO",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTO NI??O,
SITIO SANTO NIÑO HEALTH CENTER,Rural Health Unit,27870,Government,SITIO SANTO NIÑO,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,CUPANG,
SOUTHVILLE HEALTH CENTER,Rural Health Unit,27871,Government,SOUTHVILLE 3 POBLACION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,
BACLARAN HEALTH CENTER,Rural Health Unit,27872,Government,108 SITIO MALIGAYA,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,BACLARAN,+63 028538826
BATASAN HILLS SOCIAL HYGIENE CLINIC,Rural Health Unit,27873,Government,"1ST FLOOR, IBP ROAD CORNER COMMONWEALTH AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BATASAN HILLS,
SAN JUAN CITY HEALTH OFFICE II,Rural Health Unit,27876,Government,CORNER ALVIOR DON E. EJERCITO STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,TIBAGAN,+63 027240271
CENTRAL SIGNAL HEALTH CENTER,Rural Health Unit,27877,Government,ZONE II,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SIGNAL VILLAGE,
SAN ANDRES HEALTH CENTER,Rural Health Unit,27879,Government,1313 WESA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,BARANGAY 738,+63 025427896
VALENTINA HEALTH CENTER,Rural Health Unit,27880,Government,1563 VALENTINA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PACO,,
FAJARDO HEALTH CENTER,Rural Health Unit,27881,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,
M. F. JHOCSON HEALTH CENTER,Rural Health Unit,27882,Government,M. F. JHOCSON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 023452835
SAN DIEGO HEALTH CENTER,Rural Health Unit,27883,Government,1449 SAN DIEGO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 022540629
BUHAY MAHALAGA HEALTH CENTER,Rural Health Unit,27884,Government,ARELLANO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,,
BARANGAY 310 HEALTH CENTER,Rural Health Unit,27885,Government,849 QUEZON BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 310,
SMOKEY MOUNTAIN HEALTH CENTER,Rural Health Unit,27922,Government,"PERMANENT HOUSING, BALUT",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 128,+63 024256556
SAN BARTOLOME HEALTH CENTER,Rural Health Unit,27923,Government,P. DELA CRUZ CORNER QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN BARTOLOME,
BAGUMBONG DULO HEALTH CENTER,Rural Health Unit,27924,Government,BAGUMBONG DULO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 173,
BARRACKS HEALTH CENTER,Rural Health Unit,27925,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 185,
LLANO HEALTH CENTER,Rural Health Unit,27926,Government,LLANO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 167,
PANGARAP HEALTH CENTER,Rural Health Unit,27927,Government,NARRA AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 182,
SAMPALUKAN HEALTH CENTER,Rural Health Unit,27928,Government,KABULUSAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 24,
SAN RAFAEL VILLAGE SATELLITE CENTER,Barangay Health Station,27929,Government,1 TALIBA STREET,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SAN RAFAEL VILLAGE,
MALABO HEALTH STATION,Barangay Health Station,27930,Government,"002 WILLIAM STREET, ANNVILLE SUBDIVISION, SITIO SANTO ROSARIO",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MAYSAN,+63 024444919
CENTRAL BICUTAN OSANO SUPER HEALTH CENTER,Rural Health Unit,29730,Government,"PHASE 1, CENTRAL BICUTAN - OSANO",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,CENTRAL BICUTAN,
LIGID SUPER HEALTH CENTER (SPECIAL HEALTH UNIT),Rural Health Unit,29731,Government,LABAO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LIGID-TIPAS,
NORTH SIGNAL SUPER HEALTH CENTER (SPECIAL HEALTH UNIT),Rural Health Unit,29732,Government,"IPIL IPIL ST., ZONE 1",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,NORTH SIGNAL VILLAGE,
PINAGSAMA HEALTH CENTER,Rural Health Unit,29733,Government,"PHASE 1, PINAGSAMA",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,,
"VILLON-TANSINSIN HOSPITAL, INC.",Hospital,29734,Private,3 TOYOTA AVENUE COR. GUERILLA ST.,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTO NI??O,
CHILDS HOPE/PASIG CITY CHILDRENS HOSPITAL,Hospital,29735,Government,ALCALDE JOSE CORNER INDUSTRIA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN JOSE,
DOÑA NICASIA HEALTH CENTER,Rural Health Unit,29736,Government,MALASAKIT STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,COMMONWEALTH,
FAIRVIEW POLYMEDIC HOSPITAL,Hospital,29737,Private,1041 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA MONICA,+63 029398764
GARMA HOSPITAL,Hospital,29738,Private,"8 PURDUE STREET CORNER NEW YORK, E. RODRIGUEZ, CUBAO",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,E. RODRIGUEZ,
MELCHORA AQUINO HEALTH CENTER,Rural Health Unit,29739,Government,NPC,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NEW ERA (CONSTITUTION HILLS),
MT. BANAWE GENERAL HOSPITAL,Hospital,29740,Private,264 E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,E. RODRIGUEZ,+63 027240656
PACIFIC GLOBAL MEDICAL CENTER,Hospital,29741,Private,"LOT 2B,MINDANAO AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TALIPAPA,+63 029014941
PNP GENERAL HOSPITAL ANNEX,Hospital,29742,Government,"CAMP PANOPIO, P. TUAZON",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KAUNLARAN,+63 027236730
SANTA LUCIA GENERAL HOSPITAL CORPORATION,Hospital,29743,Private,797 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA MONICA,+63 024185593
SAINT LOUIS MEDICAL CLINIC AND HOSPITAL,Hospital,29744,Private,MARIANITO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN BARTOLOME,+63 029361243
PHASE 2 AREA 1 SATELLITE CENTER,Rural Health Unit,29745,Government,BLOCK 23 LANGARAY STREET CORNER DALAG STREET PHASE 2 AREA 1,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,"NORTH BAY BLVD., SOUTH",
TUMANA HEALTH CENTER,Rural Health Unit,29746,Government,PHASE 2 AREA 2,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,"NORTH BAY BLVD., SOUTH",
METRO NORTH MEDICAL CENTER AND HOSPITAL INC.,Hospital,30973,Private,1001 MINDANAO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAHAY TORO,+63 024268000
MARY IMMACULATE HOSPITAL,Hospital,651,Private,E. RODRIGUEZ AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAGONG ILOG,+63 026713928
MCPC ST THERESE OF LISIEUX DOCTORS HOSPITAL,Hospital,654,Private,ARMAL BLDG. C. RAYMUNDO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,+63 023851579
MEDICAL CENTER MANILA,Hospital,655,Private,1122 GENERAL LUNA STREET,1000,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",ERMITA,,+63 025238131
"MEDICAL CENTER PARAÑAQUE, INC.",Hospital,656,Private,"DR. A. SANTOS AVENUE, SUCAT",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ANTONIO,+63 028256911
METRO PSYCH FACILITY,Hospital,662,Private,520 DR. SIXTO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,+63 026436006
PAMPLONA MEDICAL CLINIC,Hospital,687,Private,REAL ST.,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 028730524
OUR LADY OF PEACE HOSPITAL,Hospital,690,Private,COSTAL ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN DIONISIO,+63 028295775
PAGAMUTANG BAYAN NG MALABON,Hospital,693,Government,MAYA MAYA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,LONGOS,+63 022812898
UHBI-PARAÑAQUE DOCTOR'S HOSPITAL,Hospital,698,Private,175 DOÑA SOLEDAD AVENUE BETTER LIVING SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,DON BOSCO,+63 028281340
PASAY CITY GENERAL HOSPITAL,Hospital,699,Government,P. ZAMORA STREET,1304,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 60,+63 028336022
PASIG CITY GENERAL HOSPITAL,Hospital,700,Government,M. EUSEBIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,+63 022737981
"CENTER FOR DIALYSIS, HEALTHY LIFESTYLE, AMBULLATORY SURGERY, MATERNITY CLINIC AND NEWBORN CARE OF PASIG CITY (CHAMP)",Rural Health Unit,701,Government,CARUNCHO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN NICOLAS (POB.),
