,Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number,lon,lat
99,SANTOLAN HEALTH CENTER,Rural Health Unit,7257.0,Government,SAN DIEGO STREET,1478.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,SANTOLAN,+63 022814999,120.9582324,14.6897504
100,NIUGAN HEALTH CENTER,Rural Health Unit,7258.0,Government,N. VICENCIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,NIUGAN,,120.955261,14.6677722
101,APOLONIO SAMSON HEALTH CENTER,Rural Health Unit,7259.0,Government,150 KAINGIN ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,APOLONIO SAMSON,,121.009752,14.6504927
102,GULOD HEALTH CENTER,Rural Health Unit,7260.0,Government,27 VILLAFLOR VILLAGE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GULOD,,121.0389062,14.7118847
103,SAN JOSE HEALTH CENTER,Rural Health Unit,7261.0,Government,LOPEZ JAENA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN JOSE,+63 026402355,121.0665288,12.3508725
104,FLORES HEALTH CENTER,Rural Health Unit,7263.0,Government,NUEVA STREET,1471.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,FLORES,+63 022822227,120.943229,14.6737949
105,LONGOS HEALTH CENTER,Rural Health Unit,7264.0,Government,HITO STREET,1472.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,LONGOS,,120.9613471,14.6507322
106,MUZON HEALTH CENTER,Rural Health Unit,7266.0,Government,2 KARUNUNGAN STREET,1479.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,MUZON,,120.9500687,14.6762919
107,SAN MIGUEL HEALTH CENTER,Rural Health Unit,7267.0,Government,MARKET AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN MIGUEL,,121.0859757,14.5680549
108,LA LOMA HEALTH CENTER,Rural Health Unit,7268.0,Government,225 MARIVELES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PAANG BUNDOK,,120.9909157,14.6272329
109,BAYAN-BAYANAN HEALTH CENTER,Rural Health Unit,7269.0,Government,117 CELIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,BAYAN-BAYANAN,,120.9698964,14.6703279
110,CAPRI HEALTH CENTER,Rural Health Unit,7270.0,Government,A-5 NARRA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CAPRI,,121.0288757,14.7128711
111,SAN NICOLAS HEALTH CENTER,Rural Health Unit,7271.0,Government,M.H. DEL PILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN NICOLAS (POB.),+63 029002062,121.0804452,14.5608541
112,IBABA HEALTH CENTER,Rural Health Unit,7272.0,Government,TIANGCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,IBABA,+63 022838091,120.9512351,14.6648807
113,PROJECT 6 HEALTH CENTER,Rural Health Unit,7273.0,Government,ALLEY 3 CORNER ROAD 8,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PROJECT 6,,121.0409915,14.6617793
114,PANGHULO HEALTH CENTER,Rural Health Unit,7274.0,Government,PANGHULO ROAD CORNER AGUILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,PANGHULO,,120.9517779,14.6861671
115,MAYSILO HEALTH CENTER,Rural Health Unit,7275.0,Government,M.H. DEL PILAR STREET YANGA,1477.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,MAYSILO,,120.9575153,14.6775532
116,PALTOK HEALTH CENTER,Rural Health Unit,7276.0,Government,14 MATIAS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PALTOK,,121.021844,14.642568
117,NAGKAISANG NAYON HEALTH CENTER,Rural Health Unit,7277.0,Government,"14 TERIO STREET, FB DE JESUS SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NAGKAISANG NAYON,,121.0234757,14.719623
118,UGONG HEALTH CENTER,Rural Health Unit,7278.0,Government,"F. LEGASPI STREET, BARANGAY HALL COMPOUND",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,UGONG,+63 026714071,121.0725732,14.5829434
119,SAN ANTONIO HEALTH CENTER,Rural Health Unit,7279.0,Government,1 JUAN DE JESUS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN ANTONIO,,121.0628734,14.6087899
120,PROJECT 7 HEALTH CENTER,Rural Health Unit,7280.0,Government,39 BANSALANGIN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,VETERANS VILLAGE,,121.0234757,14.6549042
121,BAGONG LIPUNAN HEALTH CENTER,Rural Health Unit,7281.0,Government,LOS MATIREZ STREET,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SAN JOSE (POB.),,120.9431713,14.6615313
122,CATMON HEALTH CENTER,Rural Health Unit,7282.0,Government,SANCIANGCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,CATMON,,120.9603858,14.6702086
123,GENERAL ROXAS HEALTH CENTER,Rural Health Unit,7283.0,Government,GENERAL MADRE DE SILVA STREET CORNER JASMINE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,ROXAS,+63 023742615,121.0213254,14.6274013
124,GUADALUPE VIEJO HEALTH CENTER,Rural Health Unit,7284.0,Government,CAMIA STREET CORNER GUMAMELA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,GUADALUPE VIEJO,+63 028972995,121.0406769,14.564421
125,ACACIA HEALTH CENTER,Rural Health Unit,7285.0,Government,MARIA CLARA STREET CORNER KAPITAN TIAGO,1474.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,ACACIA,,120.9693926,14.6673416
126,SAN ANTONIO HEALTH CENTER,Rural Health Unit,7287.0,Government,"7 GENERAL MALVAR STREET, SAN ANTONIO VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN ANTONIO,+63 026336133,121.0614584,14.5827072
127,TONSUYA HEALTH CENTER,Rural Health Unit,7288.0,Government,A. ROQUE STREET,1473.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TONSUYA,+63 023518038,120.9590814,14.662976
128,SAN JOSE HEALTH CENTER,Rural Health Unit,7289.0,Government,27 TINAGAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN JOSE,,120.9944175,14.6395586
129,SAN AGUSTIN HEALTH CENTER,Rural Health Unit,7290.0,Government,LUNA I STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,SAN AGUSTIN,,120.9513254,14.6617822
130,RIVERA HEALTH CENTER,Barangay Health Station,7291.0,Government,RIVERA CORNER KATUBUSAN STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,RIVERA,+63 027443891,121.0216838,14.6056797
131,SAN PERFECTO HEALTH CENTER,Barangay Health Station,7292.0,Government,SAN PERFECTO STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,SAN PERFECTO,+63 027237027,121.0222218,14.6032365
132,ERMITAÑO HEALTH CENTER,Barangay Health Station,7293.0,Government,185 F. SANTOS STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,ERMITA??O,+63 027442015,121.0299265,14.6119076
133,BAGONG KATIPUNAN HEALTH CENTER,Rural Health Unit,7294.0,Government,14 A. BONIFACIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAGONG KATIPUNAN,,121.0994854,14.5456259
134,CONCEPCION HEALTH CENTER,Rural Health Unit,7296.0,Government,LIWAYWAY STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 024450672,120.9712725,14.666708
135,SAN JOAQUIN HEALTH CENTER,Rural Health Unit,7297.0,Government,4D ELISCO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN JOAQUIN,+63 026439657,121.0754327,14.5513046
136,DAMPALIT HEALTH CENTER,Rural Health Unit,7298.0,Government,"1 DIAZ STREET, MERVILLE SUBDIVISION",1480.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,DAMPALIT,+63 022814999,120.9331295,14.6927951
137,ORANBO HEALTH CENTER,Rural Health Unit,7299.0,Government,ORANBO DRIVE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ORANBO,+63 026359027,121.0643245,14.5758223
138,SAN ANTONIO HEALTH CENTER,Rural Health Unit,7300.0,Government,CULTURAL LANE AREA 2 FOURTH ESTATE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ANTONIO,+63 027760751,0.0,0.0
139,CUBAO HEALTH CENTER,Rural Health Unit,7301.0,Government,22 BANAHAW STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KAUNLARAN,,121.0464101,14.6178933
140,CULIAT HEALTH CENTER (WENCESLAO DELA PAZ),Rural Health Unit,7302.0,Government,"SANTA FELICIA STREET, SAN ANTONIO HOMES",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CULIAT,+63 029314965,121.0535762,14.669878
141,BAESA HEALTH CENTER,Rural Health Unit,7303.0,Government,MENDEZ ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAESA,,121.0129667,14.6687859
142,TORO HILLS HEALTH CENTER,Rural Health Unit,7304.0,Government,"ROAD 11, PROJECT 8",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAHAY TORO,+63 023522486,121.0212459,14.6641189
143,TINAJEROS HEALTH CENTER,Rural Health Unit,7308.0,Government,CRISPIN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TINAJEROS,,120.9696822,14.6709011
144,TANZA HEALTH CENTER,Rural Health Unit,7309.0,Government,93 SILAHIS STREET,1490.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,TANZA,,120.9159131,14.7005081
145,TUGATOG HEALTH CENTER,Rural Health Unit,7310.0,Government,ECONOMIA STREET CORNER INDUSTRIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TUGATOG,+63 022850732,120.9698675,14.6652832
146,SAN ROQUE HEALTH CENTER,Rural Health Unit,7311.0,Government,GOVERNOR PASCUAL STREET,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SAN ROQUE,,120.9385643,14.6701052
147,BAGUMBAYAN NORTH HEALTH CENTER,Rural Health Unit,7329.0,Government,C4 ROAD,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,BAGUMBAYAN NORTH,,120.9507021,14.6523331
148,MALIGAYA HEALTH CENTER,Rural Health Unit,7330.0,Government,"PECHAYAN STREET, MALIGAYA PARK SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PASONG PUTIK PROPER (PASONG PUTIK),,121.0496349,14.7212565
149,MALINAO HEALTH CENTER,Rural Health Unit,7333.0,Government,TATCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MALINAO,+63 026416672,121.0786541,14.5595012
150,BATIS HEALTH CENTER,Rural Health Unit,7339.0,Government,428 F. MANALO STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,BATIS,+63 027000830,121.024973,14.598366
151,NATIONAL GOVERNMENT CENTER,Rural Health Unit,7341.0,Government,MRB PILOT AREA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,COMMONWEALTH,,121.0822362,14.6966972
152,NATIONAL CENTER FOR MENTAL HEALTH,Hospital,7359.0,Government,"9 DE PEBRERO STREET,",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,MAUWAY,+63 025319001,121.037943,14.587759
153,AMADO T. REYES HEALTH CENTER,Rural Health Unit,7460.0,Government,A. LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BUROL,,121.0219848,14.5879758
154,PARANG HEALTH CENTER,Rural Health Unit,7461.0,Government,LAKANDULA STREET COR. M.L. QUEZON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,PARANG,+63 029430463,121.1137618,14.6602111
155,ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH,Hospital,7497.0,Private,NUMBER 1 NATIONAL ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,PUTATAN,+63 028611135,121.0457638,14.4136849
156,DIVINE MERCY THE HOME THAT CARES INC,Hospital,7506.0,Private,515 KATARUNGAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,+63 025326995,121.035212,14.57509
157,GARCIA GENERAL HOSPITAL,Hospital,7507.0,Private,"49 BAYAN-BAYANAN AVENUE, MARIKINA HEIGHTS",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MARIKINA HEIGHTS (CONCEPCION),+63 029415511,121.1140247,14.6687369
158,NOVALICHES DISTRICT HOSPITAL,Hospital,7515.0,Government,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN BARTOLOME,+63 024185900,121.0369848,14.7035983
159,NOVALICHES GENERAL HOSPITAL,Hospital,7516.0,Private,793 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GULOD,+63 024185900,121.0389009,14.7094666
160,QUIRINO MEMORIAL MEDICAL CENTER,Hospital,7520.0,Government,"J. P. RIZAL CORNER P. TUAZON STREET, PROJECT 4, KATIPUNAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,MARILAG,+63 029134758,121.0716247,14.6232087
161,STA. MONICA GENERAL HOSPITAL,Hospital,7524.0,Private,138 A. BONIFACIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,TAÑONG,+63 029978819,121.080871,14.6323924
162,BAGUMBONG HEALTH CENTER,Rural Health Unit,7530.0,Government,BAGUMBONG ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 171,,121.0113692,14.7512126
163,CUYEGKENG HEALTH CENTER,Rural Health Unit,7531.0,Government,CUYEGKENG STREET CORNER LAYUG STREET,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 3,+63 025265283,120.9892453,14.5569121
164,GEN. T. DE LEON HEALTH CENTER I,Rural Health Unit,7532.0,Government,RAFAEL ALBA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,+63 022779614,120.9953888,14.6861647
165,MAYSAN HEALTH CENTER,Rural Health Unit,7535.0,Government,TONGCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MAYSAN,+63 024453820,120.9780133,14.6991044
166,URBANVILLE HEALTH CENTER,Rural Health Unit,7542.0,Government,URBANVILLE SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON TRES,+63 028005533,0.0,0.0
167,VALENZUELA PHYSICAL THERAPY CENTER,Rural Health Unit,7543.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,,,0.0,0.0
168,COMEMBO HEALTH CENTER,Rural Health Unit,7662.0,Government,ANAHAW STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,COMEMBO,,121.0657308,14.5490283
169,PINAGBUHATAN HEALTH CENTER,Rural Health Unit,7667.0,Government,URBANO VELASCO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINAGBUHATAN,,121.0941279,14.5567117
170,FULL HOUSE CUSTODIAL CARE CENTER,Hospital,7979.0,Private,150 K-6TH STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,EAST KAMIAS,,121.0562389,14.633211
171,SAN LORENZO GENERAL HOSPITAL,Hospital,7980.0,Private,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PASONG PUTIK PROPER (PASONG PUTIK),+63 029397054,121.0496349,14.7212565
172,NODADO GENERAL HOSPITAL,Hospital,7981.0,Private,23 ZABARTE SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALIGAYAHAN,+63 024171376,121.0485482,14.7375265
173,"DHC HOMECARE CLINIC, INC.",Hospital,7983.0,Private,404 CALBAYOG,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HIGHWAY HILLS,,121.0471006,14.5834705
174,"DIVINE MERCY THE HOME THAT CARES, INC-BONI",Hospital,7984.0,Private,453 BONI AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,NEW ZA??IGA,,121.028102,14.5834228
175,THE MASTER'S TOUCH PSYCHIATRIC CUSTODIAL CARE FACILITY,Hospital,7985.0,Private,438 CALBAYOG STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HIGHWAY HILLS,,121.0471006,14.5834705
176,HOLYLIFE HOSPITAL,Hospital,7986.0,Private,"LOT 2 BLOCK 4 PRES. QUEZON AVE., LIFE HOMES SUBDV.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,+63 027483501,121.0890977,14.5884642
177,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,Hospital,7987.0,Private,"BLOCK 16 LOT 18, CRESCENT PARK, RIZAL DRIVE, CORNER 32ND STREET BONIFACIO GLOBAL CITY",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,FORT BONIFACIO,+63 027897700,121.0503183,14.5408671
178,DR. MONTANO G. RAMOS GENERAL HOSPITAL,Hospital,7993.0,Private,141 MINDANAO AVE.,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAHAY TORO,+63 024533952,121.0322577,14.6773099
179,"ESTRELLAS NEX CARE, CO.",Hospital,7994.0,Private,175 KAMIAS ROAD QUIRINO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,,121.0437003,14.6760413
180,AURORA QUEZON HEALTH CENTER,Rural Health Unit,8218.0,Government,459 FRANCISCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 84,+63 022545064,120.9675617,14.6172956
181,AYALA-ALABANG HEALTH CENTER,Barangay Health Station,8257.0,Government,ALABANG TOWN CENTER,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,,121.0476194,14.4170343
182,BAESA HEALTH CENTER,Rural Health Unit,8275.0,Government,356 ROSE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 159,,121.0162287,14.6927715
183,BAGBAGUIN HEALTH CENTER,Rural Health Unit,8279.0,Government,1 GENERAL LUIS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BAGBAGUIN,+63 029859926,121.0046301,14.7098688
184,BAGONG BARRIO LYING-IN CLINIC,Rural Health Unit,8307.0,Government,"PIONEER STREET, BARANGAY HALL",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 148,,120.9956979,14.6656254
185,BAGONG SILANG HEALTH CENTER,Rural Health Unit,8369.0,Government,J. LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BAGONG SILANG,+63 025316019,121.0219848,14.5879758
186,BAGONG SILANG PHASE 7 HEALTH CENTER,Rural Health Unit,8406.0,Government,BAGONG SILANG PHASE 7,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,,121.0382467,14.7841046
187,BAGONG SILANG PHASE 8 HEALTH CENTER,Rural Health Unit,8417.0,Government,BAGONG SILANG PHASE 8,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,,121.0382467,14.7841046
188,BALAGTAS HEALTH CENTER,Barangay Health Station,8466.0,Government,1F FLORANTE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 024036994,0.0,0.0
189,BALUBARAN BARANGAY HEALTH STATION,Barangay Health Station,8498.0,Government,"SALUD STREET, EDEN COURT",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALINTA,+63 023813713,120.9631176,14.6907866
190,BAMBANG BARANGAY HEALTH STATION,Barangay Health Station,8503.0,Government,"J. POZON STREET, BAMBANG",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,,120.9842195,14.5995124
191,BAMBANG HEALTH CENTER,Rural Health Unit,8507.0,Government,23 MASTRILI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,BAMBANG,,121.07094,14.526851
192,BANGKAL HEALTH CENTER,Rural Health Unit,8510.0,Government,P. BINAY STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,BANGKAL,+63 028018750,121.0094465,14.5445748
193,BARANGAY 118/120 HEALTH CENTER,Rural Health Unit,8558.0,Government,"2ND STREET, 2ND AVENUE, GRACE PARK",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 120,,120.9844057,14.6409125
194,BARANGAY 14 HEALTH CENTER,Rural Health Unit,8562.0,Government,"PAMPANO STREET, DAGAT-DAGATAN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 14,,120.9646211,14.6485017
195,BARANGAY 178-A HEALTH CENTER,Rural Health Unit,8568.0,Government,CAMARIN ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 178,,121.0564326,14.7570376
196,BARANGAY 178-B HEALTH CENTER,Rural Health Unit,8573.0,Government,"SAN ISIDRO, CAMARIN D.",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 178,,121.063608,14.7499315
197,BARANGAY 18 HEALTH CENTER,Rural Health Unit,8575.0,Government,LIBIS NADURATA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 18,,120.9786009,14.6475467
198,BISIG HEALTH CENTER,Rural Health Unit,8740.0,Government,M. AQUINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BISIG,,0.0,0.0
199,BITIK BARANGAY HEALTH STATION,Barangay Health Station,8753.0,Government,"SITIO BITIK, GEN. T. DE LEON",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,,120.9930174,14.6879409
200,BLOCK 37 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,8760.0,Government,PANATAG ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,ADDITION HILLS,+63 026249293,121.0340639,14.5822493
201,BLOCK 38 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,8782.0,Government,"BLOCK 38, FABELLA STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,ADDITION HILLS,,121.0292226,14.5919607
202,CABATUHAN HEALTH CENTER,Rural Health Unit,8912.0,Government,SITIO KABATUHAN,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,,120.9923524,14.6862878
