Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,,Barangay Name,Landline Number,lon,lat,Barangay,level, PRCP, BedSpace, OpRoom, RecRoom, MatWard, IsoRoom, dental, blood, pathology, radiology, pharmacy, CMDCDH_2, Spec1, ICU, NICU, HRPU, RTS, TerClin, MobX, Teach_3, PRU, ASC, Dialysis, BBank, Hispa, radiology3
NOVALICHES DISTRICT HOSPITAL,Hospital,7515,Government,QUIRINO HIGHWAY,,QUEZON ,SAN BARTOLOME,+63 024185900,121.0369848,14.7035983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIRINO MEMORIAL MEDICAL CENTER,Hospital,7520,Government,"J. P. RIZAL CORNER P. TUAZON STREET, PROJECT 4, KATIPUNAN",,QUEZON ,MARILAG,+63 029134758,121.0716247,14.6232087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGUMBONG HEALTH CENTER,Rural Health Unit,7530,Government,BAGUMBONG ROAD,,CALOOCAN ,BARANGAY 171,,121.0113692,14.7512126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUYEGKENG HEALTH CENTER,Rural Health Unit,7531,Government,CUYEGKENG STREET CORNER LAYUG STREET,1300,PASAY ,BARANGAY 3,+63 025265283,120.9892453,14.5569121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN. T. DE LEON HEALTH CENTER I,Rural Health Unit,7532,Government,RAFAEL ALBA STREET,,VALENZUELA,HEN. T. DE LEON,+63 022779614,120.9953888,14.6861647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYSAN HEALTH CENTER,Rural Health Unit,7535,Government,TONGCO STREET,,VALENZUELA,MAYSAN,+63 024453820,120.9780133,14.6991044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMEMBO HEALTH CENTER,Rural Health Unit,7662,Government,ANAHAW STREET,,MAKATI,COMEMBO,,121.0657308,14.5490283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINAGBUHATAN HEALTH CENTER,Rural Health Unit,7667,Government,URBANO VELASCO AVENUE,,PASIG,PINAGBUHATAN,,121.0941279,14.5567117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL HOUSE CUSTODIAL CARE CENTER,Hospital,7979,Private,150 K-6TH STREET,,QUEZON ,EAST KAMIAS,,121.0562389,14.633211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LORENZO GENERAL HOSPITAL,Hospital,7980,Private,QUIRINO HIGHWAY,,QUEZON ,PASONG PUTIK PROPER (PASONG PUTIK),+63 029397054,121.0496349,14.7212565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DHC HOMECARE CLINIC, INC.",Hospital,7983,Private,404 CALBAYOG,,MANDALUYONG,HIGHWAY HILLS,,121.0471006,14.5834705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIVINE MERCY THE HOME THAT CARES, INC-BONI",Hospital,7984,Private,453 BONI AVENUE,,MANDALUYONG,NEW ZA??IGA,,121.028102,14.5834228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MASTER'S TOUCH PSYCHIATRIC CUSTODIAL CARE FACILITY,Hospital,7985,Private,438 CALBAYOG STREET,,MANDALUYONG,HIGHWAY HILLS,,121.0471006,14.5834705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLYLIFE HOSPITAL,Hospital,7986,Private,"LOT 2 BLOCK 4 PRES. QUEZON AVE., LIFE HOMES SUBDV.",,PASIG,ROSARIO,+63 027483501,121.0890977,14.5884642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ESTRELLAS NEX CARE, CO.",Hospital,7994,Private,175 KAMIAS ROAD QUIRINO,,QUEZON ,,,121.0437003,14.6760413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURORA QUEZON HEALTH CENTER,Rural Health Unit,8218,Government,459 FRANCISCO STREET,,MANILA,BARANGAY 84,+63 022545064,120.9675617,14.6172956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYALA-ALABANG HEALTH CENTER,Barangay Health Station,8257,Government,ALABANG TOWN CENTER,,MUNTINLUPA,ALABANG,,121.0476194,14.4170343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAESA HEALTH CENTER,Rural Health Unit,8275,Government,356 ROSE STREET,,CALOOCAN ,BARANGAY 159,,121.0162287,14.6927715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGBAGUIN HEALTH CENTER,Rural Health Unit,8279,Government,1 GENERAL LUIS STREET,,VALENZUELA,BAGBAGUIN,+63 029859926,121.0046301,14.7098688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG BARRIO LYING-IN CLINIC,Rural Health Unit,8307,Government,"PIONEER STREET, BARANGAY HALL",,CALOOCAN ,BARANGAY 148,,120.9956979,14.6656254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANG HEALTH CENTER,Rural Health Unit,8369,Government,J. LUNA STREET,,MANDALUYONG,BAGONG SILANG,+63 025316019,121.0219848,14.5879758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANG PHASE 7 HEALTH CENTER,Rural Health Unit,8406,Government,BAGONG SILANG PHASE 7,,CALOOCAN ,BARANGAY 176,,121.0382467,14.7841046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANG PHASE 8 HEALTH CENTER,Rural Health Unit,8417,Government,BAGONG SILANG PHASE 8,,CALOOCAN ,BARANGAY 176,,121.0382467,14.7841046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALUBARAN BARANGAY HEALTH STATION,Barangay Health Station,8498,Government,"SALUD STREET, EDEN COURT",,VALENZUELA,MALINTA,+63 023813713,120.9631176,14.6907866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAMBANG BARANGAY HEALTH STATION,Barangay Health Station,8503,Government,"J. POZON STREET, BAMBANG",,MANILA,,,120.9842195,14.5995124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAMBANG HEALTH CENTER,Rural Health Unit,8507,Government,23 MASTRILI STREET,,TAGUIG,BAMBANG,,121.07094,14.526851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGKAL HEALTH CENTER,Rural Health Unit,8510,Government,P. BINAY STREET,,MAKATI,BANGKAL,+63 028018750,121.0094465,14.5445748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGAY 118/120 HEALTH CENTER,Rural Health Unit,8558,Government,"2ND STREET, 2ND AVENUE, GRACE PARK",,CALOOCAN ,BARANGAY 120,,120.9844057,14.6409125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGAY 14 HEALTH CENTER,Rural Health Unit,8562,Government,"PAMPANO STREET, DAGAT-DAGATAN",,CALOOCAN ,BARANGAY 14,,120.9646211,14.6485017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGAY 178-A HEALTH CENTER,Rural Health Unit,8568,Government,CAMARIN ROAD,,CALOOCAN ,BARANGAY 178,,121.0564326,14.7570376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGAY 178-B HEALTH CENTER,Rural Health Unit,8573,Government,"SAN ISIDRO, CAMARIN D.",,CALOOCAN ,BARANGAY 178,,121.063608,14.7499315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGAY 18 HEALTH CENTER,Rural Health Unit,8575,Government,LIBIS NADURATA STREET,,CALOOCAN ,BARANGAY 18,,120.9786009,14.6475467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITIK BARANGAY HEALTH STATION,Barangay Health Station,8753,Government,"SITIO BITIK, GEN. T. DE LEON",,VALENZUELA,HEN. T. DE LEON,,120.9930174,14.6879409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK 37 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,8760,Government,PANATAG ROAD,,MANDALUYONG,ADDITION HILLS,+63 026249293,121.0340639,14.5822493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK 38 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,8782,Government,"BLOCK 38, FABELLA STREET",,MANDALUYONG,ADDITION HILLS,,121.0292226,14.5919607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABATUHAN HEALTH CENTER,Rural Health Unit,8912,Government,SITIO KABATUHAN,,VALENZUELA,HEN. T. DE LEON,,120.9923524,14.6862878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOS CLINIC,Hospital,9011,Private,85 PALASAN STREET,,VALENZUELA,PALASAN,,120.9489091,14.7021317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEMBO HEALTH CENTER,Rural Health Unit,9050,Government,BANABA STREET,,MAKATI,CEMBO,+63 026596152,121.0522035,14.5638623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNTINLUPA  HEALTH OFFICE,Rural Health Unit,9088,Government,"Ground Floor, Contessa Building",,MUNTINLUPA,POBLACION,,121.0290335,14.3854118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARO HEALTH CENTER,Rural Health Unit,9360,Government,DEPARO ROAD,,CALOOCAN ,BARANGAY 168,+63 024895011,121.0260887,14.7398933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL BICUTAN HEALTH CENTER DPWH,Rural Health Unit,9483,Government,INSIDE DPWH COMPOUND SUNFLOWER STREET,,TAGUIG,CENTRAL BICUTAN,,121.0508645,14.5176184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. ELVIRA M. LAGROSA HEALTH CENTER,Rural Health Unit,9489,Government,"PASAY  SPORTS COMPLEX, FB HARRISON",1300,PASAY ,BARANGAY 76,+63 025511652,120.9874386,14.5373621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCO CLINIC,Hospital,10850,Private,LETRE ROAD,1473,MALABON,TONSUYA,,120.9602787,14.6597763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN. T. DE LEON HEALTH CENTER II,Rural Health Unit,10913,Government,,,VALENZUELA,HEN. T. DE LEON,+63 024449249,120.9923524,14.6862878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRACE PARK HEALTH CENTER,Rural Health Unit,10951,Government,"171 3RD STREET, GRACE PARK EAST",,CALOOCAN ,BARANGAY 86,,120.9867488,14.6497679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULONG DUHAT HEALTH CENTER,Rural Health Unit,11474,Government,B. BAUTISTA BOULEVARD CORNER M. BLAS STREET,,MALABON,HULONG DUHAT,+63 024468202,120.9421024,14.6780357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERALCO CORPORATE WELLNESS CENTER,Hospital,11655,Private,"MERALCO COMPOUND, ORTIGAS AVE.",,PASIG,,+63 026328796,121.0851097,14.5763768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYOR JUAN R. SANCHEZ MEMORIAL HEALTH CENTER,Rural Health Unit,11696,Government,"P. ROSALES STREET, MANILA (KALIWA)",,PATEROS,MANILA,+63 026410614,121.072206,14.5442907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULIAN FELIPE HEALTH CENTER,Rural Health Unit,11699,Government,"JULIAN FELIPE STREET, SANGANDAAN",,CALOOCAN ,BARANGAY 8,,120.9696387,14.6575284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERGENCY CARE CLINIC,Rural Health Unit,11720,Government,SOUTHVILLE 3 POBLACION,,MUNTINLUPA,POBLACION,,121.0244389,14.3717912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD LOWER BICUTAN HEALTH CENTER,Rural Health Unit,11889,Government,"PUROK 5, MANUEL L. QUEZON STREET",,TAGUIG,LOWER BICUTAN,,121.0593142,14.4908456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAKABAYAN HEALTH CENTER,Rural Health Unit,11982,Government,BARANGKA DRIVE CORNER BUMATAY STREET,,MANDALUYONG,BARANGKA DRIVE,,121.0362895,14.5698388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALARIA HEALTH CENTER,Rural Health Unit,12082,Government,"ASCOVILLE, MALARIA",,CALOOCAN ,BARANGAY 185,,121.0757883,14.7694849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARULAS HEALTH CENTER,Rural Health Unit,12251,Government,"RAJAH SULAIMAN ST., MARULAS",,CALOOCAN ,BARANGAY 36,,120.9775974,14.6373221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPINDAN HEALTH CENTER,Rural Health Unit,12429,Government,PUROK 1 NAPINDAN,,TAGUIG,NAPINDAN,,121.0979963,14.5353433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH DAANG HARI HEALTH CENTER,Rural Health Unit,12454,Government,14 ROAD 1,,TAGUIG,NORTH DAANG HARI,,121.0513165,14.4848615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHVILLE I HEALTH CENTER,Rural Health Unit,12457,Government,BLOCK 9 LOT 10,,VALENZUELA,BIGNAY,,120.978191,14.671279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHVILLE II HEALTH CENTER,Rural Health Unit,12462,Government,BLOCK 10 LOT 13,,VALENZUELA,BIGNAY,,120.9776636,14.6724446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUR LADY OF LOURDES HOSPITAL INC.,Hospital,12505,Private,"46 P. SANCHEZ STREET, SANTA MESA",,MANILA,,+63 022519406,121.0208088,14.5961117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAG-ASA HEALTH CENTER,Rural Health Unit,12518,Government,INOCENTES STREET CORNER GENERAL KALENTONG STREET,,MANDALUYONG,PAG-ASA,,121.025626,14.59055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAR HEALTH STATION,Rural Health Unit,12528,Government,SCORPION STREET,,TAGUIG,WESTERN BICUTAN,,121.0363768,14.5172195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAMANA HEALTH CENTER,Rural Health Unit,12547,Government,DAMKA STREET,,MANILA,BARANGAY 598,+63 027161370,121.0202502,14.6000691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASIG MEDICAL & MATERNITY HOSPITAL FOUNDATION INC.,Hospital,12605,Private,101 LONDON STREET GREENPARK VILLAGE,1600,PASIG,MANGGAHAN,+63 026461067,121.0936983,14.6018872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL SECURITY GROUP STATION HOSPITAL,Hospital,12776,Government,MALACAÑANG PARK,1005,MANILA,,+63 025212301,120.9842195,14.5995124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUROK 4 HEALTH CENTER,Rural Health Unit,12909,Government,BAUTISTA STREET,,VALENZUELA,MAPULANG LUPA,,121.0019845,14.7079422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO SUPER HEALTH CENTER,Rural Health Unit,13078,Government,2ND FLOOR H. FRANCISCO STREET CORNER SAN VICENTE STREET,,QUEZON ,DAMAYAN,,121.0173425,14.6226637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH SIGNAL HEALTH CENTER,Rural Health Unit,13380,Government,IPIL-IPIL STREET ZONE 1,,TAGUIG,SIGNAL VILLAGE,,121.0508645,14.5176184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITIO IMELDA HEALTH CENTER,Rural Health Unit,13382,Government,BLOCK 115 LOT 1 PUROK 7,,TAGUIG,UPPER BICUTAN,,121.0485599,14.4979947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH DAANG HARI HEALTH CENTER,Rural Health Unit,13459,Government,PUROK 14,,TAGUIG,SOUTH DAANG HARI,,121.04696,14.486667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST. JOHN'S HOSPITAL,Hospital,13521,Private,,,VALENZUELA,MALINTA,,120.9631176,14.6907866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA QUITERIA HEALTH CENTER,Rural Health Unit,13648,Government,TULLAHAN RD. STA. QUITERIA,,CALOOCAN ,BARANGAY 163,,121.0141574,14.6828087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIBAGAN HEALTH CENTER,Barangay Health Station,15449,Government,160 DON E. EJERCITO STREET,1500,SAN JUAN,TIBAGAN,+63 027289715,121.0305229,14.5993821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUKTUKAN HEALTH CENTER,Rural Health Unit,15994,Government,GENERAL LUNA STREET,,TAGUIG,TUKTUKAN,+63 026420970,121.0714895,14.5308261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDUJA HEALTH CENTER,Rural Health Unit,16018,Government,"MAGAT SALAMAT STREET, URUDUJA VILLAGE",,CALOOCAN ,BARANGAY 172,,121.040116,14.7459843,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORIA HOMES HEALTH CENTER,Barangay Health Station,16041,Government,VICTORIA HOMES SUBDIVISION,,MUNTINLUPA,TUNASAN,+63 025199295,121.0363768,14.3725455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLAMOR BARANGAY HEALTH STATION,Barangay Health Station,16066,Government,,,QUEZON ,,,121.0437003,14.6760413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAWA HEALTH CENTER,Rural Health Unit,16077,Government,JONES STREET,,TAGUIG,WAWA,,121.0747937,14.523149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALOOCAN  HEALTH DEPARTMENT,Rural Health Unit,22485,Government,"A.MABINI  HALL COMPOUND, CALOOCAN ",,CALOOCAN ,BARANGAY 15,+63 022888811,120.9729332,14.6503638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALABON  HEALTH OFFICE,Rural Health Unit,22572,Government,F. SEVILLA BOULEVARD,,MALABON,SAN AGUSTIN,+63 022814999,120.9506031,14.6583552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUSTICE JOSE ABAD SANTOS MOTHER AND CHILD HOSPITAL,Hospital,22594,Government,NUMANCIA STREET,,MANILA,,+63 023537001,120.9721223,14.5970982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANILA HOSPITAL,Hospital,22598,Government,NEW PANADEROS STREET,,MANILA,BARANGAY 886,+63 025166151,121.0178036,14.5846701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALENZUELA  HEALTH OFFICE,Rural Health Unit,22712,Government,,,VALENZUELA,KARUHATAN,,120.9739935,14.6898877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDALUYONG  HEALTH OFFICE,Rural Health Unit,22749,Government,MAYSILO CIRCLE,,MANDALUYONG,PLAINVIEW,,121.0332284,14.5767953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPOYEES CLINIC,Rural Health Unit,22812,Government,MAYSILO STREET,,MANDALUYONG,PLAINVIEW,,121.0332284,14.5767953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIKINA  HEALTH OFFICE,Rural Health Unit,22886,Government,,,MARIKINA,SANTO NI??O,,121.1028546,14.65073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMANA HEALTH CENTER,Rural Health Unit,22910,Government,BAGONG FARMERS 1 AVENUE,,MARIKINA,TUMANA,+63 029431286,121.1003273,14.6545395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAKATI  HEALTH OFFICE,Rural Health Unit,22927,Government,"7TH FLOOR, MAKATI  HALL BUILDING",,MAKATI,POBLACION,+63 028701612,121.0300953,14.5658899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASIG  HEALTH OFFICE/CENTER,Rural Health Unit,22947,Government,,,PASIG,SAN NICOLAS (POB.),,121.0804452,14.5608541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPRO HEALTH CENTER,Rural Health Unit,22966,Government,A. MABINI STREET,,MAKATI,POBLACION,+63 028999047,121.0313318,14.5688163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGUIG  HEALTH OFFICE,Rural Health Unit,23010,Government,GENERAL LUNA STREET,,TAGUIG,TUKTUKAN,+63 026234901,121.0714895,14.5308261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAYO HEALTH CENTER,Rural Health Unit,23017,Government,700 NATIVIDAD STREET,,TAGUIG,IBAYO-TIPAS,,121.0829043,14.5304236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEZON  HEALTH DEPARTMENT,Rural Health Unit,23018,Government,,,QUEZON ,CENTRAL,,121.0437003,14.6760413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH SIGNAL HEALTH CENTER,Rural Health Unit,23037,Government,"FRIENDSHIP STREET, ZONE 6",,TAGUIG,SIGNAL VILLAGE,,121.0508645,14.5176184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATUPARAN HEALTH CENTER,Rural Health Unit,25810,Government,PAG-ASA STREET,,TAGUIG,KATUPARAN,,121.0614584,14.5167862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN MIGUEL HEALTH CENTER,Rural Health Unit,25811,Government,SEAGULL AVENUE,,TAGUIG,SAN MIGUEL,,121.0761276,14.5169098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORT BONIFACIO HEALTH CENTER,Rural Health Unit,25814,Government,SITIO 3 AT THE BACK OF THE NATIONAL NUTRITION COUNCIL,,TAGUIG,FORT BONIFACIO,,121.0503183,14.5408671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK 39 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,25822,Government,BLOCK 39,,MANDALUYONG,ADDITION HILLS,,121.0466441,14.5866691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDITION HILLS HEALTH CENTER,Rural Health Unit,25827,Government,"HOOVER STREET., CORNER LLOYD GEORGE STREET",1500,SAN JUAN,ADDITION HILLS,,121.0385269,14.5938309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHILLS HEALTH CENTER,Rural Health Unit,25829,Government,ANNAPOLIS STREET,1500,SAN JUAN,GREENHILLS,,121.0554179,14.6057557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYTUNAS HEALTH CENTER,Rural Health Unit,25831,Government,M.H. DEL PILAR STREET,1500,SAN JUAN,MAYTUNAS,,121.0307706,14.5943785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UROLOGY CENTER OF THE PHILIPPINES (NEW),Hospital,25834,Private,"NO. 62 MAGINOO STREET, DILIMAN",,QUEZON ,,,121.0437003,14.6760413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT MATERNITY HOSPITAL (NEW),Hospital,25838,Private,"3 TOYOTA AVENUE, CORNER GUERILLA STREET STO. NINO",,QUEZON ,SANTO NI??O,,121.0437003,14.6760413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITIO SANTO NIÑO HEALTH CENTER,Rural Health Unit,27870,Government,SITIO SANTO NIÑO,,MUNTINLUPA,CUPANG,,121.0418639,14.4404106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHVILLE HEALTH CENTER,Rural Health Unit,27871,Government,SOUTHVILLE 3 POBLACION,,MUNTINLUPA,POBLACION,,121.0244389,14.3717912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATASAN HILLS SOCIAL HYGIENE CLINIC,Rural Health Unit,27873,Government,"1ST FLOOR, IBP ROAD CORNER COMMONWEALTH AVENUE",,QUEZON ,BATASAN HILLS,,121.0870702,14.686864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN  HEALTH OFFICE II,Rural Health Unit,27876,Government,CORNER ALVIOR DON E. EJERCITO STREET,1500,SAN JUAN,TIBAGAN,+63 027240271,121.0292293,14.601331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL SIGNAL HEALTH CENTER,Rural Health Unit,27877,Government,ZONE II,,TAGUIG,SIGNAL VILLAGE,,121.0508645,14.5176184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ANDRES HEALTH CENTER,Rural Health Unit,27879,Government,1313 WESA STREET,,MANILA,BARANGAY 738,+63 025427896,121.0244641,14.5524608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. F. JHOCSON HEALTH CENTER,Rural Health Unit,27882,Government,M. F. JHOCSON STREET,,MANILA,,+63 023452835,120.9952608,14.6037788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN DIEGO HEALTH CENTER,Rural Health Unit,27883,Government,1449 SAN DIEGO STREET,,MANILA,,+63 022540629,120.9956698,14.6143601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUHAY MAHALAGA HEALTH CENTER,Rural Health Unit,27884,Government,ARELLANO STREET,,MANILA,,,121.0068316,14.5769851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGAY 310 HEALTH CENTER,Rural Health Unit,27885,Government,849 QUEZON BOULEVARD,,MANILA,BARANGAY 310,,120.985037,14.604023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN BARTOLOME HEALTH CENTER,Rural Health Unit,27923,Government,P. DELA CRUZ CORNER QUIRINO HIGHWAY,,QUEZON ,SAN BARTOLOME,,121.034882,14.7007777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGUMBONG DULO HEALTH CENTER,Rural Health Unit,27924,Government,BAGUMBONG DULO,,CALOOCAN ,BARANGAY 173,,121.0349434,14.7541809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRACKS HEALTH CENTER,Rural Health Unit,27925,Government,,,CALOOCAN ,BARANGAY 185,,121.0757883,14.7694849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLANO HEALTH CENTER,Rural Health Unit,27926,Government,LLANO ROAD,,CALOOCAN ,BARANGAY 167,,121.0081231,14.7370618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANGARAP HEALTH CENTER,Rural Health Unit,27927,Government,NARRA AVENUE,,CALOOCAN ,BARANGAY 182,,121.0920581,14.7642731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPALUKAN HEALTH CENTER,Rural Health Unit,27928,Government,KABULUSAN STREET,,CALOOCAN ,BARANGAY 24,,120.9729332,14.6432442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN RAFAEL VILLAGE SATELLITE CENTER,Barangay Health Station,27929,Government,1 TALIBA STREET,1485,NAVOTAS,SAN RAFAEL VILLAGE,,120.9661209,14.6374481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALABO HEALTH STATION,Barangay Health Station,27930,Government,"002 WILLIAM STREET, ANNVILLE SUBDIVISION, SITIO SANTO ROSARIO",,VALENZUELA,MAYSAN,+63 024444919,120.9863189,14.6809664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL BICUTAN OSANO SUPER HEALTH CENTER,Rural Health Unit,29730,Government,"PHASE 1, CENTRAL BICUTAN - OSANO",,TAGUIG,CENTRAL BICUTAN,,121.0508645,14.5176184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGID SUPER HEALTH CENTER (SPECIAL HEALTH UNIT),Rural Health Unit,29731,Government,LABAO STREET,,TAGUIG,LIGID-TIPAS,,121.0779377,14.5434511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH SIGNAL SUPER HEALTH CENTER (SPECIAL HEALTH UNIT),Rural Health Unit,29732,Government,"IPIL IPIL ST., ZONE 1",,TAGUIG,NORTH SIGNAL VILLAGE,,121.057159,14.5161223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINAGSAMA HEALTH CENTER,Rural Health Unit,29733,Government,"PHASE 1, PINAGSAMA",,TAGUIG,,,121.0508645,14.5176184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
